DataExtractDate,ReportPeriod,FlightType,Arrival_Departure,Domestic_International,FlightOpsCount
05/01/2014 12:00:00 AM,10/01/2009 12:00:00 AM,Scheduled,Arrival,Domestic,2169
05/01/2014 12:00:00 AM,10/01/2009 12:00:00 AM,Scheduled,Arrival,International,31
05/01/2014 12:00:00 AM,10/01/2009 12:00:00 AM,Scheduled,Departure,Domestic,2161
05/01/2014 12:00:00 AM,10/01/2009 12:00:00 AM,Scheduled,Departure,International,31
05/01/2014 12:00:00 AM,11/01/2009 12:00:00 AM,Charter,Arrival,Domestic,10
05/01/2014 12:00:00 AM,11/01/2009 12:00:00 AM,Charter,Departure,Domestic,9
05/01/2014 12:00:00 AM,11/01/2009 12:00:00 AM,Charter,Departure,International,1
05/01/2014 12:00:00 AM,11/01/2009 12:00:00 AM,Commuter,Arrival,Domestic,263
05/01/2014 12:00:00 AM,11/01/2009 12:00:00 AM,Commuter,Departure,Domestic,263
05/01/2014 12:00:00 AM,11/01/2009 12:00:00 AM,Scheduled,Arrival,Domestic,2054
05/01/2014 12:00:00 AM,11/01/2009 12:00:00 AM,Scheduled,Arrival,International,29
05/01/2014 12:00:00 AM,11/01/2009 12:00:00 AM,Scheduled,Departure,Domestic,2046
05/01/2014 12:00:00 AM,11/01/2009 12:00:00 AM,Scheduled,Departure,International,29
05/01/2014 12:00:00 AM,12/01/2009 12:00:00 AM,Charter,Arrival,Domestic,3
05/01/2014 12:00:00 AM,12/01/2009 12:00:00 AM,Charter,Departure,Domestic,2
05/01/2014 12:00:00 AM,12/01/2009 12:00:00 AM,Charter,Departure,International,1
05/01/2014 12:00:00 AM,12/01/2009 12:00:00 AM,Commuter,Arrival,Domestic,272
05/01/2014 12:00:00 AM,12/01/2009 12:00:00 AM,Commuter,Departure,Domestic,272
05/01/2014 12:00:00 AM,12/01/2009 12:00:00 AM,Scheduled,Arrival,Domestic,2084
05/01/2014 12:00:00 AM,12/01/2009 12:00:00 AM,Scheduled,Arrival,International,28
05/01/2014 12:00:00 AM,12/01/2009 12:00:00 AM,Scheduled,Departure,Domestic,2077
05/01/2014 12:00:00 AM,12/01/2009 12:00:00 AM,Scheduled,Departure,International,29
05/01/2014 12:00:00 AM,01/01/2010 12:00:00 AM,Charter,Arrival,Domestic,25
05/01/2014 12:00:00 AM,01/01/2010 12:00:00 AM,Charter,Arrival,International,1
05/01/2014 12:00:00 AM,01/01/2010 12:00:00 AM,Charter,Departure,Domestic,24
05/01/2014 12:00:00 AM,01/01/2010 12:00:00 AM,Commuter,Arrival,Domestic,245
05/01/2014 12:00:00 AM,01/01/2010 12:00:00 AM,Commuter,Departure,Domestic,245
05/01/2014 12:00:00 AM,01/01/2010 12:00:00 AM,Scheduled,Arrival,Domestic,1969
05/01/2014 12:00:00 AM,01/01/2010 12:00:00 AM,Scheduled,Arrival,International,24
05/01/2014 12:00:00 AM,01/01/2010 12:00:00 AM,Scheduled,Departure,Domestic,1960
05/01/2014 12:00:00 AM,01/01/2010 12:00:00 AM,Scheduled,Departure,International,23
05/01/2014 12:00:00 AM,02/01/2010 12:00:00 AM,Charter,Arrival,Domestic,7
05/01/2014 12:00:00 AM,02/01/2010 12:00:00 AM,Charter,Departure,Domestic,4
05/01/2014 12:00:00 AM,02/01/2010 12:00:00 AM,Commuter,Arrival,Domestic,240
05/01/2014 12:00:00 AM,02/01/2010 12:00:00 AM,Commuter,Departure,Domestic,240
05/01/2014 12:00:00 AM,02/01/2010 12:00:00 AM,Scheduled,Arrival,Domestic,1831
05/01/2014 12:00:00 AM,02/01/2010 12:00:00 AM,Scheduled,Arrival,International,3
05/01/2014 12:00:00 AM,02/01/2010 12:00:00 AM,Scheduled,Departure,Domestic,1827
05/01/2014 12:00:00 AM,02/01/2010 12:00:00 AM,Scheduled,Departure,International,3
05/01/2014 12:00:00 AM,03/01/2010 12:00:00 AM,Charter,Arrival,Domestic,5
05/01/2014 12:00:00 AM,03/01/2010 12:00:00 AM,Charter,Departure,Domestic,5
05/01/2014 12:00:00 AM,03/01/2010 12:00:00 AM,Commuter,Arrival,Domestic,121
05/01/2014 12:00:00 AM,03/01/2010 12:00:00 AM,Commuter,Departure,Domestic,121
05/01/2014 12:00:00 AM,03/01/2010 12:00:00 AM,Scheduled,Arrival,Domestic,2102
05/01/2014 12:00:00 AM,03/01/2010 12:00:00 AM,Scheduled,Arrival,International,2
05/01/2014 12:00:00 AM,03/01/2010 12:00:00 AM,Scheduled,Departure,Domestic,2089
05/01/2014 12:00:00 AM,03/01/2010 12:00:00 AM,Scheduled,Departure,International,2
05/01/2014 12:00:00 AM,04/01/2010 12:00:00 AM,Charter,Arrival,Domestic,151
05/01/2014 12:00:00 AM,04/01/2010 12:00:00 AM,Charter,Departure,Domestic,151
05/01/2014 12:00:00 AM,04/01/2010 12:00:00 AM,Charter,Departure,International,2
05/01/2014 12:00:00 AM,04/01/2010 12:00:00 AM,Commuter,Arrival,Domestic,218
05/01/2014 12:00:00 AM,04/01/2010 12:00:00 AM,Commuter,Departure,Domestic,218
05/01/2014 12:00:00 AM,04/01/2010 12:00:00 AM,Scheduled,Arrival,Domestic,2062
05/01/2014 12:00:00 AM,04/01/2010 12:00:00 AM,Scheduled,Departure,Domestic,2061
05/01/2014 12:00:00 AM,05/01/2010 12:00:00 AM,Charter,Arrival,Domestic,15
05/01/2014 12:00:00 AM,05/01/2010 12:00:00 AM,Charter,Departure,Domestic,14
05/01/2014 12:00:00 AM,05/01/2010 12:00:00 AM,Commuter,Arrival,Domestic,230
05/01/2014 12:00:00 AM,05/01/2010 12:00:00 AM,Commuter,Departure,Domestic,230
05/01/2014 12:00:00 AM,05/01/2010 12:00:00 AM,Scheduled,Arrival,Domestic,2057
05/01/2014 12:00:00 AM,05/01/2010 12:00:00 AM,Scheduled,Departure,Domestic,2057
05/01/2014 12:00:00 AM,06/01/2010 12:00:00 AM,Charter,Arrival,Domestic,6
