DataExtractDate,ReportPeriod,Arrival_Departure,Domestic_International,CargoType,AirCargoTons
05/01/2014 12:00:00 AM,04/01/2011 12:00:00 AM,Departure,Domestic,Mail,627
05/01/2014 12:00:00 AM,04/01/2011 12:00:00 AM,Departure,International,Freight,877
05/01/2014 12:00:00 AM,05/01/2011 12:00:00 AM,Arrival,Domestic,Freight,13100
05/01/2014 12:00:00 AM,05/01/2011 12:00:00 AM,Arrival,Domestic,Mail,670
05/01/2014 12:00:00 AM,05/01/2011 12:00:00 AM,Arrival,International,Freight,1184
05/01/2014 12:00:00 AM,05/01/2011 12:00:00 AM,Departure,Domestic,Freight,14946
05/01/2014 12:00:00 AM,05/01/2011 12:00:00 AM,Departure,Domestic,Mail,536
05/01/2014 12:00:00 AM,05/01/2011 12:00:00 AM,Departure,International,Freight,866
05/01/2014 12:00:00 AM,06/01/2011 12:00:00 AM,Arrival,Domestic,Freight,14486
05/01/2014 12:00:00 AM,06/01/2011 12:00:00 AM,Arrival,Domestic,Mail,900
05/01/2014 12:00:00 AM,06/01/2011 12:00:00 AM,Arrival,International,Freight,1417
05/01/2014 12:00:00 AM,06/01/2011 12:00:00 AM,Departure,Domestic,Freight,15538
05/01/2014 12:00:00 AM,06/01/2011 12:00:00 AM,Departure,Domestic,Mail,608
05/01/2014 12:00:00 AM,06/01/2011 12:00:00 AM,Departure,International,Freight,1377
05/01/2014 12:00:00 AM,07/01/2011 12:00:00 AM,Arrival,Domestic,Freight,15310
05/01/2014 12:00:00 AM,07/01/2011 12:00:00 AM,Arrival,Domestic,Mail,745
05/01/2014 12:00:00 AM,07/01/2011 12:00:00 AM,Arrival,International,Freight,1444
05/01/2014 12:00:00 AM,07/01/2011 12:00:00 AM,Departure,Domestic,Freight,15303
05/01/2014 12:00:00 AM,07/01/2011 12:00:00 AM,Departure,Domestic,Mail,646
05/01/2014 12:00:00 AM,07/01/2011 12:00:00 AM,Departure,International,Freight,952
05/01/2014 12:00:00 AM,08/01/2011 12:00:00 AM,Arrival,Domestic,Freight,16899
05/01/2014 12:00:00 AM,08/01/2011 12:00:00 AM,Arrival,Domestic,Mail,809
05/01/2014 12:00:00 AM,08/01/2011 12:00:00 AM,Arrival,International,Freight,1274
05/01/2014 12:00:00 AM,08/01/2011 12:00:00 AM,Arrival,International,Mail,0
05/01/2014 12:00:00 AM,08/01/2011 12:00:00 AM,Departure,Domestic,Freight,17866
05/01/2014 12:00:00 AM,08/01/2011 12:00:00 AM,Departure,Domestic,Mail,633
