DataExtractDate,ReportPeriod,Terminal,Arrival_Departure,Domestic_International,Passenger_Count
05/01/2014 12:00:00 AM,09/01/2009 12:00:00 AM,Terminal 2,Arrival,International,2050
05/01/2014 12:00:00 AM,09/01/2009 12:00:00 AM,Terminal 2,Departure,Domestic,56246
05/01/2014 12:00:00 AM,09/01/2009 12:00:00 AM,Terminal 2,Departure,International,2234
05/01/2014 12:00:00 AM,09/01/2009 12:00:00 AM,Terminal 4,Arrival,Domestic,134344
05/01/2014 12:00:00 AM,09/01/2009 12:00:00 AM,Terminal 4,Departure,Domestic,133919
05/01/2014 12:00:00 AM,10/01/2009 12:00:00 AM,International Terminal,Arrival,International,2436
05/01/2014 12:00:00 AM,10/01/2009 12:00:00 AM,International Terminal,Departure,International,2866
05/01/2014 12:00:00 AM,10/01/2009 12:00:00 AM,Misc. Terminal,Arrival,Domestic,45
05/01/2014 12:00:00 AM,10/01/2009 12:00:00 AM,Misc. Terminal,Departure,Domestic,143
05/01/2014 12:00:00 AM,10/01/2009 12:00:00 AM,Terminal 2,Arrival,Domestic,57169
05/01/2014 12:00:00 AM,10/01/2009 12:00:00 AM,Terminal 2,Departure,Domestic,55916
05/01/2014 12:00:00 AM,10/01/2009 12:00:00 AM,Terminal 4,Arrival,Domestic,150354
05/01/2014 12:00:00 AM,10/01/2009 12:00:00 AM,Terminal 4,Departure,Domestic,147216
05/01/2014 12:00:00 AM,11/01/2009 12:00:00 AM,International Terminal,Arrival,International,1968
05/01/2014 12:00:00 AM,11/01/2009 12:00:00 AM,International Terminal,Departure,International,2334
05/01/2014 12:00:00 AM,11/01/2009 12:00:00 AM,Terminal 2,Arrival,Domestic,54134
05/01/2014 12:00:00 AM,11/01/2009 12:00:00 AM,Terminal 2,Departure,Domestic,59297
05/01/2014 12:00:00 AM,11/01/2009 12:00:00 AM,Terminal 4,Arrival,Domestic,142157
05/01/2014 12:00:00 AM,11/01/2009 12:00:00 AM,Terminal 4,Departure,Domestic,141621
05/01/2014 12:00:00 AM,12/01/2009 12:00:00 AM,International Terminal,Arrival,International,1983
05/01/2014 12:00:00 AM,12/01/2009 12:00:00 AM,International Terminal,Departure,International,2937
05/01/2014 12:00:00 AM,12/01/2009 12:00:00 AM,Terminal 2,Arrival,Domestic,56425
05/01/2014 12:00:00 AM,12/01/2009 12:00:00 AM,Terminal 2,Departure,Domestic,55843
05/01/2014 12:00:00 AM,12/01/2009 12:00:00 AM,Terminal 4,Arrival,Domestic,142006
05/01/2014 12:00:00 AM,12/01/2009 12:00:00 AM,Terminal 4,Departure,Domestic,138859
05/01/2014 12:00:00 AM,01/01/2010 12:00:00 AM,International Terminal,Arrival,International,2509
05/01/2014 12:00:00 AM,01/01/2010 12:00:00 AM,International Terminal,Departure,International,2419
05/01/2014 12:00:00 AM,01/01/2010 12:00:00 AM,Misc. Terminal,Arrival,Domestic,246
05/01/2014 12:00:00 AM,01/01/2010 12:00:00 AM,Terminal 2,Arrival,Domestic,48641
05/01/2014 12:00:00 AM,01/01/2010 12:00:00 AM,Terminal 2,Departure,Domestic,48896
05/01/2014 12:00:00 AM,01/01/2010 12:00:00 AM,Terminal 4,Arrival,Domestic,131367
05/01/2014 12:00:00 AM,01/01/2010 12:00:00 AM,Terminal 4,Departure,Domestic,130744
05/01/2014 12:00:00 AM,02/01/2010 12:00:00 AM,International Terminal,Arrival,International,306
05/01/2014 12:00:00 AM,02/01/2010 12:00:00 AM,International Terminal,Departure,International,311
05/01/2014 12:00:00 AM,02/01/2010 12:00:00 AM,Terminal 2,Arrival,Domestic,46653
05/01/2014 12:00:00 AM,02/01/2010 12:00:00 AM,Terminal 2,Departure,Domestic,46070
05/01/2014 12:00:00 AM,02/01/2010 12:00:00 AM,Terminal 4,Arrival,Domestic,119438
05/01/2014 12:00:00 AM,02/01/2010 12:00:00 AM,Terminal 4,Departure,Domestic,119153
05/01/2014 12:00:00 AM,03/01/2010 12:00:00 AM,International Terminal,Arrival,International,116
05/01/2014 12:00:00 AM,03/01/2010 12:00:00 AM,International Terminal,Departure,International,63
05/01/2014 12:00:00 AM,03/01/2010 12:00:00 AM,Misc. Terminal,Arrival,Domestic,223
05/01/2014 12:00:00 AM,03/01/2010 12:00:00 AM,Misc. Terminal,Arrival,International,96
05/01/2014 12:00:00 AM,03/01/2010 12:00:00 AM,Misc. Terminal,Departure,Domestic,170
05/01/2014 12:00:00 AM,03/01/2010 12:00:00 AM,Terminal 2,Arrival,Domestic,56047
05/01/2014 12:00:00 AM,03/01/2010 12:00:00 AM,Terminal 2,Departure,Domestic,55491
05/01/2014 12:00:00 AM,03/01/2010 12:00:00 AM,Terminal 4,Arrival,Domestic,143570
05/01/2014 12:00:00 AM,03/01/2010 12:00:00 AM,Terminal 4,Departure,Domestic,142876
05/01/2014 12:00:00 AM,04/01/2010 12:00:00 AM,Misc. Terminal,Arrival,Domestic,49
05/01/2014 12:00:00 AM,04/01/2010 12:00:00 AM,Misc. Terminal,Departure,Domestic,934
05/01/2014 12:00:00 AM,04/01/2010 12:00:00 AM,Misc. Terminal,Departure,International,88
05/01/2014 12:00:00 AM,04/01/2010 12:00:00 AM,Terminal 2,Arrival,Domestic,58895
05/01/2014 12:00:00 AM,04/01/2010 12:00:00 AM,Terminal 2,Departure,Domestic,62734
05/01/2014 12:00:00 AM,04/01/2010 12:00:00 AM,Terminal 4,Arrival,Domestic,144279
05/01/2014 12:00:00 AM,04/01/2010 12:00:00 AM,Terminal 4,Departure,Domestic,145842
05/01/2014 12:00:00 AM,05/01/2010 12:00:00 AM,Misc. Terminal,Arrival,Domestic,1288
05/01/2014 12:00:00 AM,05/01/2010 12:00:00 AM,Misc. Terminal,Departure,Domestic,260
05/01/2014 12:00:00 AM,05/01/2010 12:00:00 AM,Terminal 2,Arrival,Domestic,65075
05/01/2014 12:00:00 AM,05/01/2010 12:00:00 AM,Terminal 2,Departure,Domestic,67327
05/01/2014 12:00:00 AM,05/01/2010 12:00:00 AM,Terminal 4,Arrival,Domestic,144544
05/01/2014 12:00:00 AM,05/01/2010 12:00:00 AM,Terminal 4,Departure,Domestic,142360
05/01/2014 12:00:00 AM,06/01/2010 12:00:00 AM,Terminal 2,Arrival,Domestic,69334
05/01/2014 12:00:00 AM,06/01/2010 12:00:00 AM,Terminal 2,Departure,Domestic,71439
05/01/2014 12:00:00 AM,06/01/2010 12:00:00 AM,Terminal 4,Arrival,Domestic,144127
05/01/2014 12:00:00 AM,06/01/2010 12:00:00 AM,Terminal 4,Departure,Domestic,147979
05/01/2014 12:00:00 AM,07/01/2010 12:00:00 AM,Misc. Terminal,Arrival,Domestic,802
05/01/2014 12:00:00 AM,07/01/2010 12:00:00 AM,Misc. Terminal,Departure,Domestic,150
05/01/2014 12:00:00 AM,07/01/2010 12:00:00 AM,Terminal 2,Arrival,Domestic,70717
05/01/2014 12:00:00 AM,07/01/2010 12:00:00 AM,Terminal 2,Departure,Domestic,73162
05/01/2014 12:00:00 AM,07/01/2010 12:00:00 AM,Terminal 4,Arrival,Domestic,146889
05/01/2014 12:00:00 AM,07/01/2010 12:00:00 AM,Terminal 4,Departure,Domestic,146765
05/01/2014 12:00:00 AM,08/01/2010 12:00:00 AM,Misc. Terminal,Arrival,Domestic,689
05/01/2014 12:00:00 AM,08/01/2010 12:00:00 AM,Misc. Terminal,Departure,Domestic,291
05/01/2014 12:00:00 AM,08/01/2010 12:00:00 AM,Terminal 2,Arrival,Domestic,68400
05/01/2014 12:00:00 AM,08/01/2010 12:00:00 AM,Terminal 2,Departure,Domestic,68894
05/01/2014 12:00:00 AM,08/01/2010 12:00:00 AM,Terminal 4,Arrival,Domestic,145157
05/01/2014 12:00:00 AM,08/01/2010 12:00:00 AM,Terminal 4,Departure,Domestic,143310
05/01/2014 12:00:00 AM,09/01/2010 12:00:00 AM,Misc. Terminal,Arrival,Domestic,471
05/01/2014 12:00:00 AM,09/01/2010 12:00:00 AM,Misc. Terminal,Departure,Domestic,150
