Page Title,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
Golf Reservations - The City of Los Angeles,162,123,137.07,103,66.99%,65.43%
Free Child Car Seat & Training Class - The City of Los Angeles,161,137,232.76,134,79.85%,78.88%
Inspection of Elevators - The City of Los Angeles,159,134,277.67,126,69.84%,67.92%
Preferential Parking Districts - The City of Los Angeles,158,127,141.39,59,72.88%,46.2%
Alert LA (Emergency Alerts for Los Angeles) - The City of Los Angeles,156,147,236.89,145,88.28%,87.82%
Rent Stabilization Ordinance information - The City of Los Angeles,153,134,239.46,97,69.07%,67.32%
Traffic Accident History Reports - The City of Los Angeles,153,135,113.71,119,75.63%,75.16%
U. S. Customs - LAX - The City of Los Angeles,151,131,179.69,125,79.2%,76.16%
Villaraigosa Series 2005-2013 - The City of Los Angeles,151,88,104.86,7,71.43%,30.46%
Most Requested Services for Residents - The City of Los Angeles,150,125,38.18,3,66.67%,12.67%
Committees - The City of Los Angeles,148,110,47.52,11,54.55%,18.24%
Most Requested Services - The City of Los Angeles,147,114,43.76,11,54.55%,12.93%
Alarm System Police Permit General Information - The City of Los Angeles,146,133,86.17,39,79.49%,59.59%
Housing & Community Investment Department (HCIDLA) General Information - The City of Los Angeles,145,122,147.53,88,64.77%,57.24%
Rent Control / Rent Stabilization Violation Complaints - The City of Los Angeles,145,119,215.22,64,70.31%,53.1%
Communications Division - LAPD - The City of Los Angeles,144,127,211.07,105,74.29%,70.83%
Council District 3 - The City of Los Angeles,144,106,73.98,106,67.92%,61.81%
Property Violations - The City of Los Angeles,141,127,252.48,68,72.06%,56.74%
S.A.F.E Centers: Permanent Collection Centers - The City of Los Angeles,137,125,191.29,103,83.5%,79.56%
Jail Division / City Jail Locations - The City of Los Angeles,136,127,124.36,119,91.6%,89.71%
Notifications & Subscriptions - The City of Los Angeles,136,107,56.14,37,81.08%,27.21%
Track4LA Online Insurance Compliance System - The City of Los Angeles,136,118,188.81,107,79.44%,76.47%
Volunteer & internship opportunities with HCIDLA - The City of Los Angeles,134,114,92.56,37,56.76%,36.57%
Report a Property Violation - The City of Los Angeles,133,117,122.7,66,69.7%,54.14%
e-Permit (Permit L.A.) - The City of Los Angeles,132,107,85.23,51,72.55%,50%
Housing Authority General Information - The City of Los Angeles,131,107,175.5,82,50%,54.2%
Cabrillo Marine Aquarium - The City of Los Angeles,130,105,65.45,4,75%,31.54%
Animal Traps - The City of Los Angeles,129,106,189.34,78,78.21%,65.89%
Copy of Property and Land Ownership Deeds - The City of Los Angeles,129,104,99.2,84,76.19%,64.34%
Council District 7 - The City of Los Angeles,128,94,41.14,90,50%,50%
Garcetti Series 2013-Present - The City of Los Angeles,127,107,165.87,1,100%,38.58%
Megan's Law - LAPD - The City of Los Angeles,125,109,432.68,106,85.85%,82.4%
Water Resources Planning - The City of Los Angeles,125,103,99.29,15,66.67%,45.6%
City Planning Public Counter - Valley - The City of Los Angeles,123,107,167.72,84,64.29%,61.79%
Maintenance of Public Street Landscape - The City of Los Angeles,121,108,189.84,52,73.08%,57.85%
City Planning Public Counter - Downtown - The City of Los Angeles,119,108,252.1,74,75.68%,65.55%
Los Angeles Police Athletic and Revolver Club - The City of Los Angeles,119,98,152.88,97,80.41%,78.15%
All Video Results - The City of Los Angeles,118,88,146.57,9,55.56%,25.42%
Calendar for Residents - The City of Los Angeles,118,108,100.06,5,80%,33.9%
Fire Hydrants - The City of Los Angeles,116,104,157.39,100,77%,75.86%
Fire Department - Red Flag Day Parking Restriction - The City of Los Angeles,114,104,62.25,98,84.69%,82.46%
Map Gallery - The City of Los Angeles,114,101,124.39,47,76.6%,52.63%
Zoopendous Nights - The City of Los Angeles,113,100,216.59,99,82.83%,80.53%
"Verify, Modify, or Add a New Address - The City of Los Angeles",112,105,304.85,94,90.43%,88.39%
Sewer Wye Map Maintenance - The City of Los Angeles,110,92,218.76,56,75%,70%
Zoo/Aquarium Combo Admission Tickets - The City of Los Angeles,110,95,283.42,89,84.27%,78.18%
Shooting Range/Monthly Qualification - LAPD - The City of Los Angeles,108,94,248.2,92,85.87%,86.11%
Zoo Human Resources - The City of Los Angeles,108,100,68.05,29,75.86%,41.67%
Workers' Compensation - Civilian Claims - The City of Los Angeles,107,88,173.1,74,71.62%,60.75%
"Engineering Maps, Plans, and Other Records - The City of Los Angeles",105,93,158.57,58,86.21%,64.76%
Ready for Women: Fellowship Program - The City of Los Angeles,105,83,40.25,8,75%,30.48%
Senior Transportation Services - The City of Los Angeles,105,91,162.64,58,68.97%,57.14%
Bee Control - The City of Los Angeles,104,90,127.08,77,89.61%,75.96%
Getting LA Back 2 Work - The City of Los Angeles,102,91,115.98,43,83.72%,50%
Residential Property Report - The City of Los Angeles,102,93,99.97,64,84.38%,67.65%
LADOT Service Requests - The City of Los Angeles,101,87,103.05,68,70.59%,63.37%
City Hall & Neighborhood City Halls - The City of Los Angeles,100,84,112.23,12,58.33%,27%
Site Plan Review - The City of Los Angeles,100,88,297.48,83,86.75%,79%
Multi Purpose Senior Centers (MPC) - The City of Los Angeles,95,85,163.17,72,84.72%,74.74%
