DataExtractDate,ReportPeriod,Arrival_Departure,Domestic_International,FlightType,Passenger_Count
05/01/2014 12:00:00 AM,02/01/2007 12:00:00 AM,Departure,International,Scheduled Carriers,585896
05/01/2014 12:00:00 AM,03/01/2007 12:00:00 AM,Arrival,Domestic,Charter,1410
05/01/2014 12:00:00 AM,03/01/2007 12:00:00 AM,Arrival,Domestic,Commuter,171970
05/01/2014 12:00:00 AM,03/01/2007 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,1724161
05/01/2014 12:00:00 AM,03/01/2007 12:00:00 AM,Arrival,International,Charter,462
05/01/2014 12:00:00 AM,03/01/2007 12:00:00 AM,Arrival,International,Commuter,4348
05/01/2014 12:00:00 AM,03/01/2007 12:00:00 AM,Arrival,International,Scheduled Carriers,700635
05/01/2014 12:00:00 AM,03/01/2007 12:00:00 AM,Departure,Domestic,Charter,1468
05/01/2014 12:00:00 AM,03/01/2007 12:00:00 AM,Departure,Domestic,Commuter,165666
05/01/2014 12:00:00 AM,03/01/2007 12:00:00 AM,Departure,Domestic,Scheduled Carriers,1766381
05/01/2014 12:00:00 AM,03/01/2007 12:00:00 AM,Departure,International,Charter,437
05/01/2014 12:00:00 AM,03/01/2007 12:00:00 AM,Departure,International,Commuter,4520
05/01/2014 12:00:00 AM,03/01/2007 12:00:00 AM,Departure,International,Scheduled Carriers,700356
05/01/2014 12:00:00 AM,04/01/2007 12:00:00 AM,Arrival,Domestic,Charter,1277
05/01/2014 12:00:00 AM,04/01/2007 12:00:00 AM,Arrival,Domestic,Commuter,165183
05/01/2014 12:00:00 AM,04/01/2007 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,1707002
05/01/2014 12:00:00 AM,04/01/2007 12:00:00 AM,Arrival,International,Charter,115
05/01/2014 12:00:00 AM,04/01/2007 12:00:00 AM,Arrival,International,Commuter,4467
05/01/2014 12:00:00 AM,04/01/2007 12:00:00 AM,Arrival,International,Scheduled Carriers,720743
05/01/2014 12:00:00 AM,04/01/2007 12:00:00 AM,Departure,Domestic,Charter,759
05/01/2014 12:00:00 AM,04/01/2007 12:00:00 AM,Departure,Domestic,Commuter,157908
05/01/2014 12:00:00 AM,04/01/2007 12:00:00 AM,Departure,Domestic,Scheduled Carriers,1738059
05/01/2014 12:00:00 AM,04/01/2007 12:00:00 AM,Departure,International,Commuter,4286
05/01/2014 12:00:00 AM,04/01/2007 12:00:00 AM,Departure,International,Scheduled Carriers,673315
05/01/2014 12:00:00 AM,05/01/2007 12:00:00 AM,Arrival,Domestic,Charter,481
05/01/2014 12:00:00 AM,05/01/2007 12:00:00 AM,Arrival,Domestic,Commuter,165973
05/01/2014 12:00:00 AM,05/01/2007 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,1758787
05/01/2014 12:00:00 AM,05/01/2007 12:00:00 AM,Arrival,International,Commuter,4471
05/01/2014 12:00:00 AM,05/01/2007 12:00:00 AM,Arrival,International,Scheduled Carriers,689391
05/01/2014 12:00:00 AM,05/01/2007 12:00:00 AM,Departure,Domestic,Charter,213
05/01/2014 12:00:00 AM,05/01/2007 12:00:00 AM,Departure,Domestic,Commuter,155642
05/01/2014 12:00:00 AM,05/01/2007 12:00:00 AM,Departure,Domestic,Scheduled Carriers,1755322
05/01/2014 12:00:00 AM,05/01/2007 12:00:00 AM,Departure,International,Charter,259
05/01/2014 12:00:00 AM,05/01/2007 12:00:00 AM,Departure,International,Commuter,4722
05/01/2014 12:00:00 AM,05/01/2007 12:00:00 AM,Departure,International,Scheduled Carriers,721668
05/01/2014 12:00:00 AM,06/01/2007 12:00:00 AM,Arrival,Domestic,Charter,473
05/01/2014 12:00:00 AM,06/01/2007 12:00:00 AM,Arrival,Domestic,Commuter,165249
05/01/2014 12:00:00 AM,06/01/2007 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,1874453
05/01/2014 12:00:00 AM,06/01/2007 12:00:00 AM,Arrival,International,Charter,5
05/01/2014 12:00:00 AM,06/01/2007 12:00:00 AM,Arrival,International,Commuter,3572
05/01/2014 12:00:00 AM,06/01/2007 12:00:00 AM,Arrival,International,Scheduled Carriers,722785
05/01/2014 12:00:00 AM,06/01/2007 12:00:00 AM,Departure,Domestic,Charter,366
05/01/2014 12:00:00 AM,06/01/2007 12:00:00 AM,Departure,Domestic,Commuter,160245
05/01/2014 12:00:00 AM,06/01/2007 12:00:00 AM,Departure,Domestic,Scheduled Carriers,1908512
05/01/2014 12:00:00 AM,06/01/2007 12:00:00 AM,Departure,International,Commuter,3919
05/01/2014 12:00:00 AM,06/01/2007 12:00:00 AM,Departure,International,Scheduled Carriers,786884
05/01/2014 12:00:00 AM,07/01/2007 12:00:00 AM,Arrival,Domestic,Charter,1254
05/01/2014 12:00:00 AM,07/01/2007 12:00:00 AM,Arrival,Domestic,Commuter,160948
05/01/2014 12:00:00 AM,07/01/2007 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,2006038
05/01/2014 12:00:00 AM,07/01/2007 12:00:00 AM,Arrival,International,Charter,2
05/01/2014 12:00:00 AM,07/01/2007 12:00:00 AM,Arrival,International,Commuter,4465
05/01/2014 12:00:00 AM,07/01/2007 12:00:00 AM,Arrival,International,Scheduled Carriers,872071
05/01/2014 12:00:00 AM,07/01/2007 12:00:00 AM,Departure,Domestic,Charter,975
05/01/2014 12:00:00 AM,07/01/2007 12:00:00 AM,Departure,Domestic,Commuter,159189
05/01/2014 12:00:00 AM,07/01/2007 12:00:00 AM,Departure,Domestic,Scheduled Carriers,2010458
05/01/2014 12:00:00 AM,07/01/2007 12:00:00 AM,Departure,International,Commuter,4277
05/01/2014 12:00:00 AM,07/01/2007 12:00:00 AM,Departure,International,Scheduled Carriers,833172
05/01/2014 12:00:00 AM,08/01/2007 12:00:00 AM,Arrival,Domestic,Charter,245
05/01/2014 12:00:00 AM,08/01/2007 12:00:00 AM,Arrival,Domestic,Commuter,156909
05/01/2014 12:00:00 AM,08/01/2007 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,1961775
05/01/2014 12:00:00 AM,08/01/2007 12:00:00 AM,Arrival,International,Charter,6
05/01/2014 12:00:00 AM,08/01/2007 12:00:00 AM,Arrival,International,Commuter,4503
05/01/2014 12:00:00 AM,08/01/2007 12:00:00 AM,Arrival,International,Scheduled Carriers,848122
05/01/2014 12:00:00 AM,08/01/2007 12:00:00 AM,Departure,Domestic,Charter,497
05/01/2014 12:00:00 AM,08/01/2007 12:00:00 AM,Departure,Domestic,Commuter,160293
05/01/2014 12:00:00 AM,08/01/2007 12:00:00 AM,Departure,Domestic,Scheduled Carriers,2011990
05/01/2014 12:00:00 AM,08/01/2007 12:00:00 AM,Departure,International,Commuter,4776
05/01/2014 12:00:00 AM,08/01/2007 12:00:00 AM,Departure,International,Scheduled Carriers,790432
05/01/2014 12:00:00 AM,09/01/2007 12:00:00 AM,Arrival,Domestic,Charter,2134
05/01/2014 12:00:00 AM,09/01/2007 12:00:00 AM,Arrival,Domestic,Commuter,151727
05/01/2014 12:00:00 AM,09/01/2007 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,1578485
05/01/2014 12:00:00 AM,09/01/2007 12:00:00 AM,Arrival,International,Charter,376
05/01/2014 12:00:00 AM,09/01/2007 12:00:00 AM,Arrival,International,Commuter,3990
05/01/2014 12:00:00 AM,09/01/2007 12:00:00 AM,Arrival,International,Scheduled Carriers,686584
05/01/2014 12:00:00 AM,09/01/2007 12:00:00 AM,Departure,Domestic,Charter,1900
05/01/2014 12:00:00 AM,09/01/2007 12:00:00 AM,Departure,Domestic,Commuter,142851
05/01/2014 12:00:00 AM,09/01/2007 12:00:00 AM,Departure,Domestic,Scheduled Carriers,1559437
05/01/2014 12:00:00 AM,09/01/2007 12:00:00 AM,Departure,International,Commuter,3778
05/01/2014 12:00:00 AM,09/01/2007 12:00:00 AM,Departure,International,Scheduled Carriers,674680
05/01/2014 12:00:00 AM,10/01/2007 12:00:00 AM,Arrival,Domestic,Charter,1203
05/01/2014 12:00:00 AM,10/01/2007 12:00:00 AM,Arrival,Domestic,Commuter,168015
05/01/2014 12:00:00 AM,10/01/2007 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,1690216
05/01/2014 12:00:00 AM,10/01/2007 12:00:00 AM,Arrival,International,Commuter,4616
05/01/2014 12:00:00 AM,10/01/2007 12:00:00 AM,Arrival,International,Scheduled Carriers,668451
05/01/2014 12:00:00 AM,10/01/2007 12:00:00 AM,Departure,Domestic,Charter,1208
05/01/2014 12:00:00 AM,10/01/2007 12:00:00 AM,Departure,Domestic,Commuter,159358
05/01/2014 12:00:00 AM,10/01/2007 12:00:00 AM,Departure,Domestic,Scheduled Carriers,1665955
05/01/2014 12:00:00 AM,10/01/2007 12:00:00 AM,Departure,International,Commuter,4313
05/01/2014 12:00:00 AM,10/01/2007 12:00:00 AM,Departure,International,Scheduled Carriers,706707
05/01/2014 12:00:00 AM,11/01/2007 12:00:00 AM,Arrival,Domestic,Charter,1149
05/01/2014 12:00:00 AM,11/01/2007 12:00:00 AM,Arrival,Domestic,Commuter,157884
05/01/2014 12:00:00 AM,11/01/2007 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,1657547
05/01/2014 12:00:00 AM,11/01/2007 12:00:00 AM,Arrival,International,Charter,530
05/01/2014 12:00:00 AM,11/01/2007 12:00:00 AM,Arrival,International,Commuter,4393
05/01/2014 12:00:00 AM,11/01/2007 12:00:00 AM,Arrival,International,Scheduled Carriers,648018
05/01/2014 12:00:00 AM,11/01/2007 12:00:00 AM,Departure,Domestic,Charter,1177
05/01/2014 12:00:00 AM,11/01/2007 12:00:00 AM,Departure,Domestic,Commuter,151870
05/01/2014 12:00:00 AM,11/01/2007 12:00:00 AM,Departure,Domestic,Scheduled Carriers,1665982
05/01/2014 12:00:00 AM,11/01/2007 12:00:00 AM,Departure,International,Charter,426
05/01/2014 12:00:00 AM,11/01/2007 12:00:00 AM,Departure,International,Commuter,4599
05/01/2014 12:00:00 AM,11/01/2007 12:00:00 AM,Departure,International,Scheduled Carriers,679480
05/01/2014 12:00:00 AM,12/01/2007 12:00:00 AM,Arrival,Domestic,Charter,2600
05/01/2014 12:00:00 AM,12/01/2007 12:00:00 AM,Arrival,Domestic,Commuter,174755
05/01/2014 12:00:00 AM,12/01/2007 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,1671966
05/01/2014 12:00:00 AM,12/01/2007 12:00:00 AM,Arrival,International,Charter,250
05/01/2014 12:00:00 AM,12/01/2007 12:00:00 AM,Arrival,International,Commuter,4531
05/01/2014 12:00:00 AM,12/01/2007 12:00:00 AM,Arrival,International,Scheduled Carriers,704450
05/01/2014 12:00:00 AM,12/01/2007 12:00:00 AM,Departure,Domestic,Charter,965
05/01/2014 12:00:00 AM,12/01/2007 12:00:00 AM,Departure,Domestic,Commuter,164515
05/01/2014 12:00:00 AM,12/01/2007 12:00:00 AM,Departure,Domestic,Scheduled Carriers,1701450
05/01/2014 12:00:00 AM,12/01/2007 12:00:00 AM,Departure,International,Charter,189
05/01/2014 12:00:00 AM,12/01/2007 12:00:00 AM,Departure,International,Commuter,4704
05/01/2014 12:00:00 AM,12/01/2007 12:00:00 AM,Departure,International,Scheduled Carriers,757343
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Arrival,Domestic,Charter,789
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Arrival,Domestic,Commuter,142908
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,1561959
05/01/2014 12:00:00 AM,01/01/2008 12:00:00 AM,Arrival,International,Charter,1009
