Street,Cross Street,Council District,NE Quantity Constructed,NE Date Completed,NW Quantity Constructed,NW Date Completed,SE Quantity Constructed,SE Date Completed,SW Quantity Constructed,SW Date Completed,Mid-Block or Alley Quantity Constructed,Mid-Block or Alley Date Completed,From Lat-Lon,To Lat-Lon
LA FAYETTE RD,VENICE BL,10,0,,1,12/05/2013,0,,0,,0,,"(34.046406040000001, -118.3337913)","(34.0458675, -118.33405064999999)"
LA FAYETTE RD,16TH PL,10,0,,1,12/09/2013,0,,1,12/09/2013,0,,"(34.0458675, -118.33405064999999)","(34.044066030000003, -118.33491814999999)"
FLORISTAN AV,FAIR PARK AV,14,0,,1,12/18/2013,1,12/23/2013,1,12/18/2013,0,,"(34.133370990000003, -118.19933189)","(34.133800039999997, -118.19940706)"
FLORISTAN AV,FAIR PARK AV,14,1,12/23/2013,0,,0,,0,,0,,"(34.133370990000003, -118.19933189)","(34.133800039999997, -118.19940706)"
FLORISTAN AV,LINDA ROSA AV,14,0,,1,12/19/2013,0,,1,12/19/2013,0,,"(34.133800039999997, -118.19940706)","(34.134710759999997, -118.19952673)"
PASADENA AV,HOMER ST,1,0,,0,,1,12/10/2013,0,,0,,,
PASADENA AV,AVENUE 35,1,1,12/13/2013,1,12/12/2013,1,12/13/2013,1,12/12/2013,0,,"(34.083959550000003, -118.21350944)","(34.085638860000003, -118.21306783999999)"
46TH ST,MCKINLEY AV,9,0,,0,,1,12/18/2013,0,,0,,"(34.001596769999999, -118.26522183)","(34.001637559999999, -118.26084826)"
VENICE BL,OLIN ST,10,1,12/23/2013,0,,0,,0,,0,,,
OLIN ST,GARTH AV,10,1,12/23/2013,0,,1,12/23/2013,0,,0,,"(34.034508580000001, -118.38104609)","(34.034814699999998, -118.38214180999999)"
RIMPAU BL,17TH ST,10,1,12/20/2013,0,,1,12/20/2013,0,,0,,"(34.04487666, -118.34113970999999)","(34.043989910000001, -118.34149152000001)"
DOCKWEILER ST,HIGHLAND AV,10,1,12/19/2013,1,12/18/2013,1,12/19/2013,1,12/18/2013,0,,"(34.051518170000001, -118.34212676999999)","(34.05176797, -118.34307056)"
DOCKWEILER ST,CITRUS AV,10,1,12/17/2013,1,12/17/2013,1,12/16/2013,1,12/16/2013,0,,"(34.05176797, -118.34307056)","(34.052043249999997, -118.34411062)"
PICO BL,BURNSIDE AV,10,0,,0,,1,12/18/2013,0,,0,,"(34.048384460000001, -118.35474247000001)","(34.048460140000003, -118.35577170000001)"
