Primary Street,Dir,Cross Street,Type,Dist,Count Date,Day,W/B,E/B,N/B,S/B,Total
BARBARA ST,AT,37 th ST,AUTO,SR,June 30 2013,SUN,0,0,624,603,1227
BARBARA ST,AT,37 th ST,AUTO,SR,June 29 2013,SAT,0,0,586,725,1311
BARBARA ST,AT,34 th ST,AUTO,SR,June 29 2013,SAT,0,0,680,652,1332
BARBARA ST,AT,27 th ST,AUT,SR,April 07 2013,SUN,0,0,1036,713,1749
BARBARA ST,AT,27 th ST,AUT,SR,April 06 2013,SAT,0,0,1221,863,2084
BARBARA ST,AT,27 th ST,AUT,SR,April 05 2013,FRI,0,0,1231,937,2168
BARHAM BL,AT,CAHUENGA BL WEST,AUTO,EV,May 06 2011,FRI,1604,1720,,,3324
BARRINGTON AV,AT,SUNSET BL,MAN,WR,November 12 2013,TUE,0,0,5201,3182,8383
BARRINGTON AV,AT,SUNSET BL,AUTO,WR,September 05 2013,THU,0,0,6325,2721,9046
BARTEE AV,AT,VAN NUYS BL,AUTO,CR,January 26 2011,WED,,,4804,4257,9061
BARTEE AV,AT,VAN NUYS BL,MAN,CR,January 26 2011,WED,4537,5210,,,9747
BARTON AV,AT,EL CENTRO AV,AUTO,HW,May 01 2014,THU,367,677,0,0,1044
BAY VIEW ,AT,DENNI ST,AUTO,SR,May 19 2014,MON,0,0,441,413,854
BEACHWOOD DR,N/O,LEDGEWOOD DR,AUTO,HW,September 02 2013,MON,0,0,1355,1258,2613
BEACHWOOD DR,N/O,LEDGEWOOD DR,AUTO,HW,September 01 2013,SUN,0,0,1372,1283,2655
BEACHWOOD DR,N/O,LEDGEWOOD DR,AUTO,HW,August 31 2013,SAT,0,0,1435,1323,2758
BEACHWOOD DR,N/O,BELDEN DR,AUTO,HW,September 02 2013,MON,0,0,2740,2601,5341
BEACHWOOD DR,N/O,BELDEN DR,AUTO,HW,September 01 2013,SUN,0,0,2844,2744,5588
BEACHWOOD DR,N/O,BELDEN DR,AUTO,HW,August 31 2013,SAT,0,0,3042,2875,5917
BEACHWOOD DR,N/O,FRANKLIN AV,AUTO,HW,September 02 2013,MON,0,0,5541,5950,11491
BEACHWOOD DR,N/O,FRANKLIN AV,AUTO,HW,September 01 2013,SUN,0,0,5597,6178,11775
BEACHWOOD DR,N/O,FRANKLIN AV,AUTO,HW,August 31 2013,SAT,0,0,6136,6786,12922
BEACHWOOD DR ,AT,TEMPLE HILL DR,AUTO,HW,October 31 2013,THU,0,0,5782,5738,11520
BEACHY AV,AT,VAN NUYS BL,AUTO,CR,February 08 2011,TUE,,,4169,4164,8333
BEACHY AV,AT,VAN NUYS BL,AUTO,CR,February 08 2011,TUE,,,5058,7467,12525
BEACON ST,AT,2 nd ST,AUTO,SR,February 12 2014,WED,0,0,378,468,846
BELLE PORTE AV,AT,263 rd ST,MAN,HW,January 10 2013,THU,,0,327,289,616
BELLE PORTE AV,AT,ANAHEIM ST,AUTO,SR,August 27 2013,TUE,0,0,706,669,1375
BELLEVUE AV,AT,LONDON ST,MAN,CR,September 07 2011,WED,693,282,,,975
BELLEVUE AV,AT,MALTMAN AV,AUTO,EV,May 05 2011,THU,3508,3088,,,6596
BELLINGHAM AV,AT,VICTORY BL,MAN,EV,July 09 2013,TUE,0,0,1993,2103,4096
BENTLEY AV (WEST JOG),AT,SUNSET BL,MAN,WR,January 28 2013,TUE,0,0,0,193,193
BENTLEY AV (WEST JOG),AT,SUNSET BL,AUTO,CR,January 10 2011,MON,,,1801,715,2516
BERENDO ST,AT,FINLEY AV,AUT,HW,March 28 2013,THU,0,0,472,291,763
BERENDO ST,AT,3 rd ST,MAN,HW,December 11 2013,WED,16720,18295,0,0,35015
BERKELEY AV,AT,MC COLLUM ST,AUT,HW,March 27 2013,WED,1950,1464,0,0,3414
BERNAL AV,N/O,EAGLE ST,AUTO,EV,March 22 2011,TUE,,,2661,2286,4947
BERRY DR,AT,VENTURA BL,MAN,EV,May 08 2013,WED,0,0,689,0,689
BEVERLY BL,AT,UNION AV,MAN,EV,May 03 2011,TUE,,,2099,2435,4533
BEVERLY BL,AT,EDINBURGH AV,MAN,WR,December 03 2013,TUE,18887,12300,0,0,31187
BEVERLY BL,AT,EDINBURGH AV,AUTO,WR,December 03 2013,TUE,19479,16911,0,0,36390
BEVERLY GLEN BL,N/O,MULHOLLAND DR,AUTO,WR,June 09 2011,THU,,2553,,,2553
BEVERLY GLEN BL,N/O,MULHOLLAND DR,MAN,CR,October 13 2011,THU,,,6759,7264,14022
BEVERLY GLEN BL,AT,COY DR,MAN,EV,March 04 2014,TUE,0,0,13489,14112,27601
BIG TUJUNGA CANYON RD,AT,DETENTION CAMP RD,AUTO,WR,August 11 2011,THU,800,1176,,,1976
BIG TUJUNGA CANYON RD,E/O,ORO VISTA AV  Private,MAN,EV,May 17 2011,TUE,,,197,1875,2073
BIG TUJUNGA CANYON RD,AT,MT GLEASON AV,AUTO,WR,August 11 2011,THU,1198,1280,,,2478
BIG TUJUNGA CANYON RD,AT,ORO VISTA AV  Private,AUTO,WR,August 11 2011,THU,1929,1697,,,3626
BIXEL ST,AT,6 th ST,AUTO,EV,April 28 2011,THU,,,279,2504,2783
BIXEL ST,AT,7 th ST,AUTO,EV,July 26 2011,TUE,,,5738,5501,11239
BIXEL ST,AT,WILSHIRE BL,AUTO,EV,December 19 2012,WED,4195,7790,0,0,11985
BIXEL ST,AT,4 th ST,AUTO,EV,December 19 2012,WED,5755,6977,0,0,12732
BLAKE AV,AT,KNOX AV,MAN,HW,December 01 2011,THU,,,555,,555
BLAKE AV,AT,SHOREDALE AV,MAN,HW,May 16 2013,THU,266,341,0,0,607
BLAKE AV,AT,KNOX AV,MAN,HW,January 10 2013,THU,0,0,327,289,616
BLAKE AV,AT,DALLAS ST,AUTO,HW,October 31 2013,THU,282,398,0,0,680
BLANCHARD ST,AT,EVERGREEN AV,AUTO,CR,January 11 2011,TUE,,,10924,10387,21311
BLUEBIRD AV,S/O,FLICKER WAY,AUTO,HW,July 15 2013,MON,0,0,346,518,864
BLYTHE ST,AT,VAN NUYS BL,AUTO,CR,January 11 2011,TUE,,,9400,9709,19109
BOCA AV,AT,VALLEY BL,MAN,CR,July 18 2013,THU,0,0,4996,160,5156
BOCCACCIO AV,E/O,ABBOTT KINNEY BL,AUTO,WR,September 04 2013,WED,250,284,0,0,534
BOCCACCIO AV / MARR ST,AT,ABBOT KINNEY BL,MAN,WR,December 04 2013,WED,924,174,0,0,1098
BONNER AV,S/O,BURBANK BL,AUTO,EV,June 05 2013,WED,943,1496,0,0,2439
