DataExtractDate,ReportPeriod,Arrival_Departure,Domestic_International,CargoType,AirCargoTons
05/01/2014 12:00:00 AM,09/01/2007 12:00:00 AM,Arrival,International,Freight,60147
05/01/2014 12:00:00 AM,09/01/2007 12:00:00 AM,Arrival,International,Mail,742
05/01/2014 12:00:00 AM,09/01/2007 12:00:00 AM,Departure,Domestic,Freight,35253
05/01/2014 12:00:00 AM,09/01/2007 12:00:00 AM,Departure,Domestic,Mail,1838
05/01/2014 12:00:00 AM,09/01/2007 12:00:00 AM,Departure,International,Freight,36072
05/01/2014 12:00:00 AM,09/01/2007 12:00:00 AM,Departure,International,Mail,1149
05/01/2014 12:00:00 AM,10/01/2007 12:00:00 AM,Arrival,Domestic,Freight,37468
05/01/2014 12:00:00 AM,10/01/2007 12:00:00 AM,Arrival,Domestic,Mail,1676
05/01/2014 12:00:00 AM,10/01/2007 12:00:00 AM,Arrival,International,Freight,62388
05/01/2014 12:00:00 AM,10/01/2007 12:00:00 AM,Arrival,International,Mail,738
05/01/2014 12:00:00 AM,10/01/2007 12:00:00 AM,Departure,Domestic,Freight,37887
05/01/2014 12:00:00 AM,10/01/2007 12:00:00 AM,Departure,Domestic,Mail,1992
05/01/2014 12:00:00 AM,10/01/2007 12:00:00 AM,Departure,International,Freight,34611
05/01/2014 12:00:00 AM,10/01/2007 12:00:00 AM,Departure,International,Mail,1159
05/01/2014 12:00:00 AM,11/01/2007 12:00:00 AM,Arrival,Domestic,Freight,36853
05/01/2014 12:00:00 AM,11/01/2007 12:00:00 AM,Arrival,Domestic,Mail,1689
05/01/2014 12:00:00 AM,11/01/2007 12:00:00 AM,Arrival,International,Freight,62776
05/01/2014 12:00:00 AM,11/01/2007 12:00:00 AM,Arrival,International,Mail,934
05/01/2014 12:00:00 AM,11/01/2007 12:00:00 AM,Departure,Domestic,Freight,38555
05/01/2014 12:00:00 AM,11/01/2007 12:00:00 AM,Departure,Domestic,Mail,2571
05/01/2014 12:00:00 AM,11/01/2007 12:00:00 AM,Departure,International,Freight,35103
05/01/2014 12:00:00 AM,11/01/2007 12:00:00 AM,Departure,International,Mail,1186
05/01/2014 12:00:00 AM,12/01/2007 12:00:00 AM,Arrival,Domestic,Freight,35393
05/01/2014 12:00:00 AM,12/01/2007 12:00:00 AM,Arrival,Domestic,Mail,1899
05/01/2014 12:00:00 AM,12/01/2007 12:00:00 AM,Arrival,International,Freight,52981
05/01/2014 12:00:00 AM,12/01/2007 12:00:00 AM,Arrival,International,Mail,1060
05/01/2014 12:00:00 AM,12/01/2007 12:00:00 AM,Departure,Domestic,Freight,37963
